id,Condition,Word,condition_printed,word_printed,word_printed2,Instruction1,word_printedTWO,Instruction2
38,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
39,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
40,2,1,an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
41,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
42,1,4,NICHT an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
43,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
44,1,3,NICHT an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
45,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
46,1,1,NICHT an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
47,1,4,NICHT an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
48,1,1,NICHT an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
49,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
50,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
51,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
52,1,3,NICHT an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
53,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
54,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
55,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
56,1,1,NICHT an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
57,2,1,an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
58,2,2,an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
59,1,1,NICHT an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
60,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
61,1,1,NICHT an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
62,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
63,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
64,2,4,an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
65,1,1,NICHT an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
66,2,1,an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
67,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
68,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
69,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
70,1,2,NICHT an ,einen TIGER,ein TIGER,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal NICHT an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", diesmal ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, diesmal versuchen Sie, an einen TIGER zu denken. Jedes Mal, wenn Sie einen TIGER erwähnen oder Ihnen ein TIGER in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
71,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
72,2,3,an ,ESSEN,ESSEN,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an ESSEN zu denken. Jedes Mal, wenn Sie ESSEN erwähnen oder Ihnen ESSEN in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
73,2,1,an ,einen GORILLA,ein GORILLA,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an einen GORILLA zu denken. Jedes Mal, wenn Sie einen GORILLA erwähnen oder Ihnen ein GORILLA in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
74,2,4,an ,KRANKHEIT,KRANKHEIT,"Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, mit einer Ausnahme. Versuchen Sie diesmal an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen.", d.h ,"Danke, dass Sie diese Aufgabe gelöst haben, es ist nur noch eine Runde übrig. Bitte verbalisieren Sie in den nächsten Minuten Ihre Gedanken wie zuvor, d.h versuchen Sie, an KRANKHEIT zu denken. Jedes Mal, wenn Sie KRANKHEIT erwähnen oder Ihnen KRANKHEIT in den Sinn kommt, läuten Sie bitte die Glocke auf dem Tisch vor Ihnen."
